STT,Bố cục,Script,Định dạng,Mã cảnh,Thời lượng (tính hàm),Thời lượng dự kiến,Mô tả hình ảnh,Text hiển thị,File đính kèm,,,,,,,,,,
A. GIỚI THIỆU KHOÁ HỌC,,,,,,,,,,,,,,,,,,,
1,Giới thiệu,Chào mừng bạn đến với khóa học Cơ bản về kinh doanh trên Shopee được xây dựng bởi đội ngũ nhân sự UpBase! ,Slideshow,S1,0.1,0.5,,"Typography tên khóa học ""Cơ bản về knh doanh trên Shopee""",,,,,,,,,,,
2,,Hãy cùng điểm qua những mục tiêu và nội dung chính của khóa học này nhé!,Slideshow,S2,0.1,0,Minh họa icon mục tiêu và nội dung,"Mục tiêu
Nội dung",,,,,,,,,,,
3,Mục tiêu,"Khóa học này hướng đến ba mục tiêu:
- Đầu tiên là giúp bạn hiểu rõ về thị trường thương mại điện tử và những cơ hội, thách thức khi kinh doanh trên Shopee. 
- Thứ hai là giúp bạn nắm vững công thức kinh doanh hiệu quả, đồng thời khám phá cách xây dựng và tối ưu cơ cấu doanh thu, quản lý chi phí.
- Cuối cùng, bạn sẽ tận dụng được nhịp sàn và nhịp gian hàng để thúc đẩy tăng trưởng bền vững.",Slideshow,S3,0.5,0.5,https://prnt.sc/GXBQL-JUofAF,,,,,,,,,,,,
4,Cấu trúc,"Để đạt được những mục tiêu này, bạn sẽ lần lượt tìm hiểu 4 học phần bao gồm:
- Phần 1: Tổng quan thị trường Shopee
- Phần 2: Công thức kinh doanh hiệu quả
- Phần 3: Cơ cấu doanh thu và chi phí
- Phần 4: Nhịp sàn & Nhịp gian hàng",Slideshow,S4,0.3,0.5,https://prnt.sc/yFVs034Yxt2t,,,,,,,,,,,,
B. NỘI DUNG KHOÁ HỌC,,,,,,,,,,,,,,,,,,,
5,1. Tổng quan thị trường Shopee,"Đứng trước những biến động lớn của thương mại điện tử, việc nghiên cứu thị trường Shopee trở nên vô cùng quan trọng đối với mọi đơn vị kinh doanh.",Slideshow,S5,0.2,0.5,Minh họa kính lúp soi vào bản báo cáo kết quả doanh thu có logo Shopee,Nghiên cứu thị trường Shopee là nhiệm vụ quan trọng đối với mọi đơn vị kinh doanh.,,,,,,,,,,,
6,,"Hãy cùng đến với học phần đầu tiên để có cái nhìn tổng quan về thị trường thương mại điện tử, những thuận lợi và thách thức khi cạnh tranh trên sàn Shopee, từ đó nắm bắt tốt cơ hội kinh doanh và có chiến lược kinh doanh phù hợp.",Slideshow,S6,0.3,0.5,"Minh họa infographic 4 học phần, highlight học phần 1",,,,,,,,,,,,
7,1.1. Sự phát triển của Shopee,"Thương mại điện tử đang trở thành kênh mua sắm chính yếu tại Việt Nam, với tốc độ tăng trưởng trung bình >20%/năm. ",Slideshow,S7,0.1,0.5,"Minh họa biểu đồ cột tăng trưởng của Shopee trong 5 năm
","Hiển thị typography ""Tốc độ tăng trưởng >20%/năm""
Thêm chú thích (Nguồn: iPrice, Statista năm 2024)
",,,,,,,,,,,
8,,"Sự gia tăng của thanh toán không tiền mặt, logistics phát triển, và hành vi tiêu dùng số hóa đã thúc đẩy sự mở rộng nhanh chóng của thương mại điện tử.",Slideshow,S8,0.2,0.5,https://prnt.sc/V-4dgZuKiZMJ,,,,,,,,,,,,
9,,"Trong đó, Shopee hiện là một trong những nền tảng bán hàng trực tuyến lớn nhất, vượt qua các đối thủ như Lazada, Tiki và TikTok Shop nhờ hệ sinh thái mạnh mẽ, lượng người dùng lớn và chiến lược giá cạnh tranh.",Slideshow,S9,0.2,0.5,"Minh họa biểu đồ tròn các nền tảng bán hàng trực tuyến gồm Shopee, Lazada, Tiki, Tiktok Shop, Khác. Trong đó phần của Shopee là rộng nhất.
",Shopee là nền tảng bán hàng trực tuyến lớn nhất,,,,,,,,,,,
10,,"Shopee và TikTok Shop tiếp tục khẳng định vị thế dẫn đầu trên thị trường thương mại điện tử Việt Nam với tổng giá trị giao dịch lần lượt đạt 9,3 tỷ USD và 3,8 tỷ USD, chiếm 66,7% và 26,9% thị phần. Tốc độ tăng trưởng doanh thu của hai nền tảng này trong năm 2024 đạt mức thần tốc 41% và 99% so với năm 2023. 

",Slideshow,S10,0.4,0.5,https://prnt.sc/TY0dyi0CexNe,,,,,,,,,,,,
